ID,Dept,Gender,Clin,Cert,Prate,Exper,Rank,Sal94,Sal95
1,1,1,0,0,7.4,9,3,77836,84612
2,1,1,0,0,6.7,10,2,69994,78497
3,1,1,0,0,8.1,6,1,62872,67756
4,1,1,1,1,5.1,27,3,155196,173220
5,1,1,0,0,7,10,3,89268,96099
6,1,1,0,1,7.7,10,3,79714,87531
7,1,1,0,1,8.3,9,2,89781,99972
8,1,1,1,1,5.3,11,3,151423,166601
9,1,1,0,0,7.7,18,3,81271,85437
10,1,1,0,0,7.5,9,2,83018,91369
11,1,1,0,0,6.8,12,2,80214,88676
12,1,1,0,1,7.3,8,2,110302,116654
13,1,1,1,1,5.4,18,3,137106,149222
14,1,1,0,0,7.5,15,2,77545,85041
15,1,1,0,0,6.8,10,2,90223,97640
16,1,1,0,0,8.1,9,3,81197,91800
17,1,1,0,0,7.3,16,3,90178,101828
18,1,1,0,1,7.7,9,3,105564,117743
19,1,1,0,0,8.1,37,2,115804,126989
20,1,1,0,1,7.2,14,3,113149,124432
21,1,1,0,1,8.6,27,3,157510,168673
22,1,1,0,0,7.1,14,3,97104,104090
23,1,1,0,1,7.3,17,3,131815,145843
24,1,1,0,1,6.9,23,3,134135,151837
25,1,1,0,1,7.4,8,3,92198,98155
26,1,1,0,1,6.9,19,3,99304,110321
27,1,1,0,0,8,15,2,82132,90058
28,1,1,0,1,7,16,3,108770,119697
29,1,1,0,1,6.9,15,3,109775,120208
30,1,1,0,0,7.7,7,1,66375,71139
31,1,0,0,0,7.2,2,1,57838,62907
32,1,0,0,1,8.7,12,2,90631,99079
33,1,0,0,1,7.9,7,1,60930,66190
34,1,0,0,0,8.1,14,2,87231,95385
35,1,0,0,0,7.4,8,2,68582,76987
36,1,0,0,0,7.3,7,1,63280,68420
37,1,0,0,0,7.9,16,3,106412,116959
38,1,0,0,1,7.2,3,1,65337,70166
39,1,0,1,1,6.4,16,3,143334,153524
40,1,0,0,0,8,12,3,90771,102927
41,1,0,0,0,8.1,8,2,81769,88896
42,1,0,0,1,7.5,11,1,94103,102983
43,1,0,0,1,7.6,10,1,102631,111125
44,1,0,1,1,6,15,1,109164,120696
45,1,0,0,0,7.1,9,1,63779,73033
46,1,0,0,0,8,6,1,75362,81615
47,1,0,1,1,4.6,13,2,124836,137791
48,1,0,0,0,7.7,13,1,77012,84536
49,1,0,0,1,7.3,6,1,67277,72721
50,1,0,0,1,8.1,9,1,73448,80294
51,2,1,1,1,5.1,10,1,97707,101617
52,2,1,1,1,5.1,9,3,106130,118258
53,2,1,0,1,6.8,8,3,81049,88505
54,2,1,1,1,5.5,25,3,140315,150710
55,2,1,0,1,7.1,11,3,84571,92879
56,2,1,0,1,6.6,9,2,58126,64522
57,2,1,1,1,6.1,27,3,133284,151373
58,2,1,0,1,7.5,32,2,142333,154372
59,2,1,0,0,8.3,23,3,71073,78715
60,2,1,0,0,7.5,14,2,76255,82466
61,2,1,0,1,7.8,11,3,105348,118635
62,2,1,0,0,7.5,9,3,86844,97061
63,2,1,0,0,7,5,2,52582,58923
64,2,1,0,1,7.5,12,3,110836,120397
65,2,1,1,1,5.7,18,3,144150,151887
66,2,1,1,1,6,19,3,122240,134882
67,2,1,0,0,7.1,10,3,68573,75286
68,2,1,0,0,7.9,8,2,63936,69526
69,2,1,1,1,5.9,4,1,71404,78589
70,2,1,0,1,7.6,14,3,102076,112009
71,2,0,1,1,5.3,10,2,94715,106608
72,2,0,0,1,8.1,4,1,58634,62601
73,2,0,0,1,7.9,14,3,119851,131050
