Default,Gender,AvgBal,Income
No,M,730,44362
No,F,817,12106
No,M,1074,31767
No,M,529,35704
No,M,786,38463
No,F,920,7492
No,M,826,24905
No,F,809,17600
No,M,1161,37469
No,M,0,29275
No,F,0,21871
No,F,1221,13269
No,M,237,28252
No,M,607,44995
No,M,1113,23810
No,M,286,45042
No,M,0,50265
No,F,528,17637
No,M,486,61566
No,M,1095,26465
No,M,229,50500
No,M,954,32458
No,M,1056,51318
No,M,642,30466
No,M,773,34353
No,M,855,25211
No,M,643,41474
No,M,1455,32189
No,M,616,39376
No,F,1120,16556
No,M,495,54385
No,F,449,15799
No,F,585,22430
No,M,914,46907
No,F,1424,22634
No,F,1500,13191
No,M,692,47807
No,M,351,35087
No,M,743,37865
No,M,653,39490
No,M,872,41788
No,M,837,51472
No,M,1152,42917
No,F,221,16873
No,F,1690,19053
No,M,409,54207
No,M,1239,50067
No,M,1228,37409
No,M,821,47747
No,M,857,31688
No,M,564,42641
No,F,1283,13121
No,F,1506,26557
No,F,904,16882
No,M,0,49957
No,F,1294,10464
No,F,1276,15887
No,M,1537,48767
No,M,1333,39143
No,M,492,33379
No,M,766,46478
No,M,690,63433
No,M,0,32482
No,M,1481,36866
No,M,989,45344
No,M,1302,33695
No,M,1045,54697
No,M,0,43658
No,M,866,38363
No,M,691,48140
No,M,598,31578
No,M,429,51311
No,M,1398,39645
No,F,1578,19886
No,M,857,26656
No,F,752,16211
No,F,775,15194
No,M,728,45132
No,M,77,28392
No,M,196,41347
No,F,949,14298
No,M,432,39370
No,M,462,46221
No,M,572,33046
No,M,336,51258
No,M,510,60398
No,F,1005,24039
No,F,162,13242
No,M,933,50537
No,F,893,11906
No,M,1333,44495
No,M,1404,35043
No,F,1149,16578
No,M,368,57597
No,M,449,45951
No,M,820,51585
No,F,620,15751
No,M,1048,46417
No,M,244,47194
No,M,187,45431
No,M,1422,38224
No,M,384,61425
No,M,1159,45802
No,M,883,17182
No,M,1463,65458
No,F,1722,19311
No,F,774,14559
No,M,958,32816
No,M,1208,68038
No,M,1057,30547
No,M,118,46550
No,M,597,58088
No,M,0,47730
No,F,542,16336
No,M,1119,45020
No,F,810,20499
No,M,272,32850
No,M,1114,47714
No,M,867,33541
No,F,1177,17633
No,M,610,42465
No,M,273,55449
No,M,450,49643
No,F,828,10674
No,M,430,33925
No,M,0,31826
No,F,1557,18405
No,M,928,33722
No,M,1373,49102
No,F,951,18602
No,F,1292,23066
No,M,582,24761
No,F,339,19308
No,M,410,44641
No,M,1216,53640
No,M,598,44124
Yes,F,1487,17854
No,M,944,59977
No,M,0,49526
No,F,996,20883
No,F,748,11249
No,M,325,15412
No,F,575,16006
No,M,442,36012
No,M,1189,39527
No,M,95,51371
No,M,1016,43219
No,M,1259,44932
No,F,1178,7750
No,M,732,43956
No,M,350,44455
No,M,419,36902
No,M,533,39394
No,M,95,32359
No,F,1453,15933
No,M,353,39405
No,F,736,14108
No,M,1306,41225
No,M,1149,45195
No,M,703,57679
No,F,1361,18864
No,M,31,53287
No,M,988,48570
No,M,360,23928
No,M,647,33226
No,F,0,9817
No,M,445,31975
No,F,879,17497
No,F,336,21760
No,M,667,30438
No,M,814,40737
No,M,836,54607
No,M,967,33055
Yes,F,2206,14271
No,F,1258,11672
No,M,1240,40107
No,F,0,13760
No,F,928,22473
No,F,1390,21299
No,M,410,53471
No,M,73,30682
No,M,791,45303
No,M,789,32580
No,M,791,46319
No,M,479,37256
No,M,889,28900
No,M,1284,42832
No,F,712,23342
No,F,1291,18408
No,M,126,44281
No,M,779,61159
No,M,697,49477
No,M,607,43610
No,F,1803,21411
No,M,900,41277
No,M,966,33441
No,M,671,35689
No,M,172,23506
No,M,1482,45261
No,M,641,46465
No,F,706,18078
Yes,F,1775,20360
No,M,916,25768
No,M,1271,36054
No,M,111,47339
No,M,1747,37819
Yes,M,1890,48956
No,M,27,21052
No,M,746,35160
Yes,F,1899,20655
No,F,814,20392
No,M,499,38899
No,M,853,36272
No,M,475,32064
No,M,1236,35839
No,M,621,44214
No,M,220,37880
No,F,1305,18074
No,F,1608,22358
No,M,256,37657
No,F,1154,19225
