Quarter,Sales 5rm
2007-Q1,1402
2007-Q2,2305
2007-Q3,1901
2007-Q4,1667
2008-Q1,1574
2008-Q2,1997
2008-Q3,2172
2008-Q4,1578
2009-Q1,1506
2009-Q2,2713
2009-Q3,3422
2009-Q4,2187
2010-Q1,2047
2010-Q2,2240
2010-Q3,1975
2010-Q4,1477
2011-Q1,1582
2011-Q2,1635
2011-Q3,1415
2011-Q4,1412
2012-Q1,1370
2012-Q2,1594
2012-Q3,1558
2012-Q4,1288
2013-Q1,962
2013-Q2,1070
2013-Q3,969
2013-Q4,784
2014-Q1,726
2014-Q2,913
2014-Q3,960
2014-Q4,1024
2015-Q1,925
2015-Q2,1210
2015-Q3,1140
2015-Q4,1113
2016-Q1,1023
2016-Q2,1369
2016-Q3,1283
2016-Q4,1186
2017-Q1,1055
2017-Q2,1407
2017-Q3,1428
2017-Q4,1403
2018-Q1,1111
2018-Q2,1559
2018-Q3,1797
2018-Q4,1350
2019-Q1,1148
2019-Q2,1520
2019-Q3,1547
2019-Q4,1519
