real_date,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15
1/2/2013,99,59,348,47,37,422,67,132,209,28,99,113,70,80,404
1/3/2013,80,41,180,34,24,329,47,106,162,27,80,65,49,54,323
1/4/2013,73,41,141,33,19,257,55,94,124,26,61,59,36,57,310
1/5/2013,103,60,259,38,28,359,66,148,194,28,86,83,66,68,467
1/6/2013,109,70,439,46,37,376,63,150,252,33,124,114,77,84,579
1/7/2013,64,39,196,30,21,280,47,89,133,23,87,71,52,61,303
1/8/2013,60,31,173,27,19,241,223,81,115,26,78,63,45,46,291
1/9/2013,67,30,152,25,21,246,34,66,104,19,69,58,46,40,303
1/10/2013,53,25,124,24,13,183,32,56,78,21,57,53,43,46,239
1/11/2013,56,28,129,25,13,210,38,55,87,21,53,46,37,38,267
1/12/2013,83,48,209,35,22,279,56,98,139,21,96,68,52,60,402
1/13/2013,89,58,359,46,32,354,54,114,189,30,131,100,67,88,529
1/14/2013,56,30,197,27,19,248,42,62,103,18,66,56,43,58,309
1/15/2013,63,31,175,27,20,253,40,63,104,21,78,64,52,54,267
1/16/2013,65,37,159,32,18,266,45,67,112,26,88,64,36,56,260
1/17/2013,52,28,138,28,15,223,38,58,87,18,67,59,35,47,223
1/18/2013,61,33,132,25,16,212,50,63,80,22,67,48,36,37,254
1/19/2013,83,53,212,36,24,324,53,106,151,32,108,98,60,60,448
1/20/2013,98,54,367,48,28,343,48,121,177,32,123,94,70,77,570
1/21/2013,63,35,193,32,19,262,47,70,101,20,72,70,47,63,324
1/22/2013,63,32,119,29,17,245,216,66,93,23,75,59,47,49,244
1/23/2013,61,33,123,28,17,230,36,54,85,29,78,54,37,51,256
1/24/2013,53,26,107,26,13,196,31,50,66,19,61,56,40,56,190
1/25/2013,61,29,91,26,13,197,34,46,80,21,58,135,37,51,214
1/26/2013,81,45,228,40,20,302,54,89,139,31,101,73,53,61,393
1/27/2013,91,57,288,47,29,319,57,116,170,33,129,98,65,76,495
1/28/2013,62,28,172,36,18,224,41,67,102,23,86,64,41,52,250
1/29/2013,54,28,118,31,17,212,38,70,88,23,72,54,35,51,224
1/30/2013,58,33,110,30,15,224,38,66,90,20,70,50,36,40,215
1/31/2013,52,29,105,35,15,211,40,64,99,22,69,58,38,40,231
2/1/2013,69,41,100,38,18,286,60,91,139,33,75,63,51,60,265
2/2/2013,97,68,180,54,32,423,77,138,231,37,108,85,61,80,453
2/3/2013,100,67,181,55,32,392,62,135,240,35,91,93,75,71,469
2/4/2013,73,39,109,45,23,304,58,92,142,29,67,72,51,65,280
2/5/2013,63,38,93,39,20,277,55,98,134,31,52,64,48,48,262
2/6/2013,61,36,106,39,17,272,52,69,115,29,32,55,38,51,259
2/7/2013,59,30,88,31,15,247,40,59,101,20,31,58,38,46,249
2/8/2013,68,37,109,42,19,256,47,61,98,26,33,74,45,53,300
2/9/2013,81,43,115,55,23,319,60,71,128,32,41,65,61,56,309
2/10/2013,60,30,87,43,16,205,44,56,92,22,25,56,44,46,277
2/11/2013,65,27,96,36,16,175,34,49,70,16,18,53,42,44,245
2/12/2013,67,35,114,43,20,235,35,57,96,22,20,56,45,45,274
2/13/2013,67,33,112,41,20,247,46,64,102,27,19,73,53,55,281
2/14/2013,62,25,90,36,18,212,308,55,81,19,15,67,47,52,222
2/15/2013,63,33,129,47,19,254,41,73,91,26,11,56,42,56,283
2/16/2013,104,61,240,65,37,383,69,118,181,34,21,109,67,87,499
2/17/2013,81,52,271,62,36,298,51,97,149,28,74,89,64,90,481
2/18/2013,75,43,181,48,32,288,46,84,124,29,80,85,56,60,362
2/19/2013,54,34,152,46,24,243,42,71,91,24,88,69,44,61,254
2/20/2013,63,40,133,56,25,271,52,69,95,27,76,71,45,56,263
2/21/2013,51,30,102,40,18,210,36,58,78,21,48,64,37,53,229
2/22/2013,58,31,109,37,16,202,41,53,81,27,38,57,36,44,212
2/23/2013,82,47,172,52,27,297,57,93,133,28,84,81,47,72,386
2/24/2013,99,53,321,58,38,334,54,103,164,29,116,99,58,92,536
2/25/2013,62,34,146,48,22,243,43,72,96,24,105,74,46,64,282
2/26/2013,50,31,124,40,19,218,31,64,85,27,74,63,44,53,256
2/27/2013,63,29,142,41,21,233,43,62,84,22,75,58,40,49,261
2/28/2013,52,29,115,39,17,230,36,73,95,24,80,60,53,55,236
3/1/2013,68,43,135,55,25,293,54,82,136,37,85,74,51,59,347
3/2/2013,105,69,272,64,43,422,78,131,236,38,126,100,77,87,537
3/3/2013,108,76,339,74,46,422,68,149,239,37,153,117,93,106,586
3/4/2013,78,47,189,46,32,316,62,94,148,28,105,88,71,81,334
3/5/2013,63,37,147,47,25,280,47,83,126,29,99,63,54,58,275
3/6/2013,68,40,135,48,26,290,49,69,115,34,94,63,43,55,260
3/7/2013,54,30,117,37,18,216,41,56,99,24,69,50,44,50,245
3/8/2013,58,31,116,40,16,219,147,55,86,20,80,56,25,48,259
3/9/2013,93,54,201,54,32,336,61,110,158,32,106,82,37,74,442
3/10/2013,92,56,269,60,38,331,53,117,175,30,141,106,61,79,489
3/11/2013,67,35,159,40,22,259,47,69,99,26,89,82,48,57,294
3/12/2013,58,27,127,35,20,215,38,55,92,20,91,60,45,50,260
3/13/2013,66,30,117,35,18,234,36,58,87,25,80,56,45,51,241
3/14/2013,45,26,100,34,17,183,30,48,83,20,71,65,31,55,197
3/15/2013,66,30,118,35,16,430,37,67,106,25,87,67,41,63,262
3/16/2013,100,53,199,55,35,350,69,118,212,36,116,85,55,70,447
3/17/2013,111,65,312,63,43,398,53,119,246,32,130,110,79,86,563
3/18/2013,69,34,165,40,19,277,41,68,158,23,98,83,61,69,257
3/19/2013,59,31,126,40,21,234,41,61,124,20,80,72,49,56,261
3/20/2013,68,38,129,40,20,269,75,59,131,29,83,58,38,56,244
3/21/2013,51,31,78,36,22,211,29,46,118,22,70,70,34,50,192
3/22/2013,63,29,114,39,17,232,33,59,111,22,73,51,42,35,256
3/23/2013,94,52,184,53,28,337,58,98,212,28,99,90,64,69,434
3/24/2013,89,58,254,58,38,326,50,98,236,26,134,89,74,82,486
3/25/2013,68,37,135,40,23,263,38,79,147,25,95,64,49,57,299
3/26/2013,52,28,94,36,17,212,33,57,116,24,64,53,42,46,239
3/27/2013,66,36,89,38,18,264,31,53,129,23,81,60,37,67,239
3/28/2013,64,44,117,48,16,245,35,66,145,26,90,65,40,57,237
3/29/2013,74,37,137,43,21,244,32,62,164,22,70,48,42,47,302
3/30/2013,81,54,182,55,27,344,53,104,282,29,115,82,67,56,472
3/31/2013,89,66,287,54,40,361,41,109,275,26,144,96,80,76,474
4/1/2013,79,52,209,54,34,381,61,97,257,29,126,88,72,80,366
4/2/2013,69,46,168,48,27,366,52,84,210,29,85,92,60,61,346
4/3/2013,68,46,146,48,26,341,43,81,178,27,83,79,54,60,326
4/4/2013,57,34,125,40,19,259,36,63,134,24,92,64,55,63,240
4/5/2013,59,37,114,38,19,274,42,60,133,26,90,64,50,48,294
4/6/2013,93,63,189,60,32,388,64,113,226,34,133,89,64,74,496
4/7/2013,107,72,305,62,42,410,59,114,235,31,145,103,76,93,530
4/8/2013,61,35,226,44,24,281,44,67,132,25,116,70,51,61,319
4/9/2013,54,33,119,35,21,256,41,58,112,25,90,68,51,50,280
4/10/2013,55,35,114,37,21,287,33,68,116,23,86,56,45,41,290
4/11/2013,47,26,105,35,16,225,192,58,99,24,79,63,49,50,251
4/12/2013,56,31,115,34,16,248,40,58,97,23,73,50,46,45,295
4/13/2013,86,47,170,51,30,382,58,102,166,29,118,74,66,65,424
4/14/2013,95,61,273,56,36,408,57,113,195,29,142,90,80,66,510
4/15/2013,64,36,161,39,25,327,49,78,133,27,106,70,55,61,365
4/16/2013,59,36,149,40,23,333,54,67,131,29,107,63,53,52,290
4/17/2013,65,38,117,41,21,346,40,63,125,26,80,69,51,56,287
4/18/2013,47,32,108,39,16,239,34,53,91,23,75,61,48,50,227
4/19/2013,52,33,142,43,18,256,31,49,94,26,79,64,47,49,277
4/20/2013,86,47,196,68,28,395,57,93,162,30,124,82,60,69,443
4/21/2013,105,65,283,67,42,412,49,111,199,28,132,95,74,79,522
